areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
nation,England,E92000001,2021-07-10,74837,38074168,170408,28893119
nation,England,E92000001,2021-07-09,72439,37999331,137868,28722711
nation,England,E92000001,2021-07-08,76995,37926892,131701,28584843
nation,England,E92000001,2021-07-07,67852,37849897,124235,28453142
nation,England,E92000001,2021-07-06,65344,37782045,105163,28328907
nation,England,E92000001,2021-07-05,56118,37716701,103801,28223744
nation,England,E92000001,2021-07-04,59401,37660583,85152,28119943
nation,England,E92000001,2021-07-03,117866,37601182,166703,28034791
nation,England,E92000001,2021-07-02,98204,37483316,135887,27868088
nation,England,E92000001,2021-07-01,113877,37385112,143023,27732201
nation,England,E92000001,2021-06-30,110991,37271235,133946,27589178
nation,England,E92000001,2021-06-29,107634,37160244,110531,27455232
nation,England,E92000001,2021-06-28,96824,37052610,100652,27344701
nation,England,E92000001,2021-06-27,113342,36955786,97258,27244049
nation,England,E92000001,2021-06-26,207493,36842444,176341,27146791
nation,England,E92000001,2021-06-25,171341,36634951,129967,26970450
nation,England,E92000001,2021-06-24,190776,36463610,132297,26840483
nation,England,E92000001,2021-06-23,171415,36272834,118190,26708186
nation,England,E92000001,2021-06-22,156271,36101419,119655,26589996
nation,England,E92000001,2021-06-21,120320,35945148,92339,26470341
nation,England,E92000001,2021-06-20,137860,35824828,78874,26378002
nation,England,E92000001,2021-06-19,252424,35686968,198470,26299128
nation,England,E92000001,2021-06-18,194883,35434544,162662,26100658
nation,England,E92000001,2021-06-17,210870,35239661,171032,25937996
nation,England,E92000001,2021-06-16,169813,35028791,177107,25766964
nation,England,E92000001,2021-06-15,149478,34858978,170873,25589857
nation,England,E92000001,2021-06-14,108399,34709500,163081,25418984
nation,England,E92000001,2021-06-13,121770,34601101,151417,25255903
nation,England,E92000001,2021-06-12,229147,34479331,278298,25104486
nation,England,E92000001,2021-06-11,175724,34250184,247517,24826188
nation,England,E92000001,2021-06-10,173728,34074460,248622,24578671
nation,England,E92000001,2021-06-09,149010,33900732,252538,24330049
nation,England,E92000001,2021-06-08,104586,33751722,246275,24077511
nation,England,E92000001,2021-06-07,83298,33647136,234096,23831236
nation,England,E92000001,2021-06-06,98255,33563838,217332,23597140
nation,England,E92000001,2021-06-05,178722,33465583,424735,23379808
nation,England,E92000001,2021-06-04,147170,33286861,320424,22955073
nation,England,E92000001,2021-06-03,157718,33139691,308588,22634649
nation,England,E92000001,2021-06-02,130140,32981973,281223,22326061
nation,England,E92000001,2021-06-01,71483,32851833,270053,22044838
nation,England,E92000001,2021-05-31,69204,32780350,147579,21774785
nation,England,E92000001,2021-05-30,97803,32711146,173324,21627206
nation,England,E92000001,2021-05-29,158868,32613343,378696,21453882
nation,England,E92000001,2021-05-28,177220,32454475,371164,21075186
nation,England,E92000001,2021-05-27,237420,32277255,356469,20704022
nation,England,E92000001,2021-05-26,207408,32039835,365661,20347553
nation,England,E92000001,2021-05-25,157798,31832427,322044,19981892
nation,England,E92000001,2021-05-24,87801,31674629,258365,19659848
nation,England,E92000001,2021-05-23,103383,31586828,219941,19401483
nation,England,E92000001,2021-05-22,184593,31483445,521386,19181542
nation,England,E92000001,2021-05-21,191701,31298852,370141,18660156
nation,England,E92000001,2021-05-20,236990,31107151,367285,18290015
nation,England,E92000001,2021-05-19,238844,30870161,307420,17922730
nation,England,E92000001,2021-05-18,155790,30631317,266243,17615310
nation,England,E92000001,2021-05-17,81311,30475527,201272,17349067
nation,England,E92000001,2021-05-16,107268,30394216,154747,17147795
nation,England,E92000001,2021-05-15,212088,30286948,355329,16993048
nation,England,E92000001,2021-05-14,188506,30074860,339890,16637719
nation,England,E92000001,2021-05-13,177485,29886354,376635,16297829
nation,England,E92000001,2021-05-12,150597,29708869,403797,15921194
nation,England,E92000001,2021-05-11,99251,29558272,306643,15517397
nation,England,E92000001,2021-05-10,73637,29459021,179758,15210754
nation,England,E92000001,2021-05-09,73933,29385384,155794,15030996
nation,England,E92000001,2021-05-08,139088,29311451,404566,14875202
nation,England,E92000001,2021-05-07,108093,29172363,415026,14470636
nation,England,E92000001,2021-05-06,100379,29064270,422425,14055610
nation,England,E92000001,2021-05-05,106524,28963891,349931,13633185
nation,England,E92000001,2021-05-04,96913,28857367,206063,13283254
nation,England,E92000001,2021-05-03,57866,28760454,93368,13077191
nation,England,E92000001,2021-05-02,70375,28702588,133916,12983823
nation,England,E92000001,2021-05-01,122597,28632213,333769,12849907
nation,England,E92000001,2021-04-30,114538,28509616,356533,12516138
nation,England,E92000001,2021-04-29,110516,28395078,396310,12159605
nation,England,E92000001,2021-04-28,101368,28284562,387867,11763295
nation,England,E92000001,2021-04-27,83534,28183194,307317,11375428
nation,England,E92000001,2021-04-26,62010,28099660,236214,11068111
nation,England,E92000001,2021-04-25,61356,28037650,223306,10831897
nation,England,E92000001,2021-04-24,125321,27976294,490890,10608591
nation,England,E92000001,2021-04-23,107817,27850973,392462,10117701
nation,England,E92000001,2021-04-22,102594,27743156,348886,9725239
nation,England,E92000001,2021-04-21,92471,27640562,338251,9376353
nation,England,E92000001,2021-04-20,82676,27548091,269307,9038102
nation,England,E92000001,2021-04-19,81862,27465415,199688,8768795
nation,England,E92000001,2021-04-18,69583,27383553,192078,8569107
nation,England,E92000001,2021-04-17,114255,27313970,475074,8377029
nation,England,E92000001,2021-04-16,101763,27199715,444250,7901955
nation,England,E92000001,2021-04-15,93424,27097952,365256,7457705
nation,England,E92000001,2021-04-14,77785,27004528,290422,7092449
nation,England,E92000001,2021-04-13,35085,26926743,232473,6802027
nation,England,E92000001,2021-04-12,22475,26891658,166741,6569554
nation,England,E92000001,2021-04-11,34451,26869183,157013,6402813
nation,England,E92000001,2021-04-10,73397,26834732,449206,6245800
nation,England,E92000001,2021-04-09,58681,26761335,410084,5796594
nation,England,E92000001,2021-04-08,50900,26702654,405706,5386510
nation,England,E92000001,2021-04-07,53792,26651754,380998,4980804
nation,England,E92000001,2021-04-06,49097,26597962,156859,4599806
nation,England,E92000001,2021-04-05,16616,26548865,47123,4442947
nation,England,E92000001,2021-04-04,25732,26532249,37151,4395824
nation,England,E92000001,2021-04-03,73831,26506517,156274,4358673
nation,England,E92000001,2021-04-02,66845,26432686,219432,4202399
nation,England,E92000001,2021-04-01,117396,26365841,419876,3982967
nation,England,E92000001,2021-03-31,178634,26248445,348480,3563091
nation,England,E92000001,2021-03-30,168508,26069811,241516,3214611
nation,England,E92000001,2021-03-29,173722,25901303,133054,2973095
nation,England,E92000001,2021-03-28,209591,25727581,93322,2840041
nation,England,E92000001,2021-03-27,413261,25517990,238048,2746719
nation,England,E92000001,2021-03-26,319186,25104729,230489,2508671
nation,England,E92000001,2021-03-25,282042,24785543,230029,2278182
nation,England,E92000001,2021-03-24,268817,24503501,218056,2048153
nation,England,E92000001,2021-03-23,261521,24234684,140387,1830097
nation,England,E92000001,2021-03-22,265368,23973163,64481,1689710
nation,England,E92000001,2021-03-21,294410,23707795,29113,1625229
nation,England,E92000001,2021-03-20,696474,23413385,71630,1596116
nation,England,E92000001,2021-03-19,541501,22716911,101864,1524486
nation,England,E92000001,2021-03-18,458065,22175410,108578,1422622
nation,England,E92000001,2021-03-17,389415,21717345,95451,1314044
nation,England,E92000001,2021-03-16,372748,21327930,67258,1218593
nation,England,E92000001,2021-03-15,320010,20955182,30680,1151335
nation,England,E92000001,2021-03-14,224875,20635172,13300,1120655
nation,England,E92000001,2021-03-13,471245,20410297,39085,1107355
nation,England,E92000001,2021-03-12,312105,19939052,68570,1068270
nation,England,E92000001,2021-03-11,136358,19626947,54149,999700
nation,England,E92000001,2021-03-10,203198,19490589,71330,945551
nation,England,E92000001,2021-03-09,176671,19287391,48388,874221
nation,England,E92000001,2021-03-08,167342,19110720,22811,825833
nation,England,E92000001,2021-03-07,140419,18943378,8296,803022
nation,England,E92000001,2021-03-06,389716,18802959,21862,794726
nation,England,E92000001,2021-03-05,386735,18413243,37539,772864
nation,England,E92000001,2021-03-04,320777,18026508,46135,735325
nation,England,E92000001,2021-03-03,228358,17705731,45729,689190
nation,England,E92000001,2021-03-02,171927,17477373,28631,643461
nation,England,E92000001,2021-03-01,146124,17305446,11740,614830
nation,England,E92000001,2021-02-28,156614,17159322,9205,603090
nation,England,E92000001,2021-02-27,376071,17002708,15235,593885
nation,England,E92000001,2021-02-26,447691,16626637,16649,578650
nation,England,E92000001,2021-02-25,437005,16178946,17312,562001
nation,England,E92000001,2021-02-24,399281,15741941,14890,544689
nation,England,E92000001,2021-02-23,281355,15342660,9780,529799
nation,England,E92000001,2021-02-22,145177,15061305,5330,520019
nation,England,E92000001,2021-02-21,110666,14916128,2300,514689
nation,England,E92000001,2021-02-20,308613,14805462,2777,512389
nation,England,E92000001,2021-02-19,316884,14496849,4328,509612
nation,England,E92000001,2021-02-18,393881,14179965,4815,505284
nation,England,E92000001,2021-02-17,416652,13786084,4685,500469
nation,England,E92000001,2021-02-16,307293,13369432,3240,495784
nation,England,E92000001,2021-02-15,200653,13062139,1542,492544
nation,England,E92000001,2021-02-14,183410,12861486,722,491002
nation,England,E92000001,2021-02-13,435573,12678076,2266,490280
nation,England,E92000001,2021-02-12,428682,12242503,4075,488014
nation,England,E92000001,2021-02-11,389056,11813821,4313,483939
nation,England,E92000001,2021-02-10,332557,11424765,4295,479626
nation,England,E92000001,2021-02-09,304251,11092208,2356,475331
nation,England,E92000001,2021-02-08,234993,10787957,915,472975
nation,England,E92000001,2021-02-07,223494,10552964,338,472060
nation,England,E92000001,2021-02-06,471419,10329470,549,471722
nation,England,E92000001,2021-02-05,399052,9858051,1675,471173
nation,England,E92000001,2021-02-04,389299,9458999,2651,469498
nation,England,E92000001,2021-02-03,362123,9069700,2246,466847
nation,England,E92000001,2021-02-02,295615,8707577,1194,464601
nation,England,E92000001,2021-02-01,261426,8411962,1269,463407
nation,England,E92000001,2021-01-31,278236,8150536,2349,462138
nation,England,E92000001,2021-01-30,460598,7872300,2250,459789
nation,England,E92000001,2021-01-29,474557,7411702,2196,457539
nation,England,E92000001,2021-01-28,335285,6937145,1071,455343
nation,England,E92000001,2021-01-27,234530,6601860,532,454272
nation,England,E92000001,2021-01-26,226303,6367330,395,453740
nation,England,E92000001,2021-01-25,189269,6141027,469,453345
nation,England,E92000001,2021-01-24,189168,5951758,473,452876
nation,England,E92000001,2021-01-23,460520,5762590,546,452403
nation,England,E92000001,2021-01-22,470245,5302070,627,451857
nation,England,E92000001,2021-01-21,357976,4831825,1472,451230
nation,England,E92000001,2021-01-20,317720,4473849,1597,449758
nation,England,E92000001,2021-01-19,295781,4156129,1233,448161
nation,England,E92000001,2021-01-18,150308,3860348,922,446928
nation,England,E92000001,2021-01-17,149137,3710040,756,446006
nation,England,E92000001,2021-01-16,289577,3560903,1243,445250
nation,England,E92000001,2021-01-15,333264,3271326,2250,444007
nation,England,E92000001,2021-01-14,287367,2938062,3720,441757
nation,England,E92000001,2021-01-13,252374,2650695,6375,438037
nation,England,E92000001,2021-01-12,175173,2398321,10524,431662
nation,England,E92000001,2021-01-11,112313,2223148,15940,421138
nation,England,E92000001,2021-01-10,108961,2110835,44770,405198
nation,England,E92000001,2021-01-09,212986,2001874,63532,360428
nation,England,E92000001,2021-01-08,249336,1788888,59548,296896
nation,England,E92000001,2021-01-07,202662,1539552,79148,237348
nation,England,E92000001,2021-01-06,89357,1336890,80848,158200
nation,England,E92000001,2021-01-05,58379,1247533,47105,77352
nation,England,E92000001,2021-01-04,27734,1189154,9290,30247
nation,England,E92000001,2021-01-03,16363,1161420,3808,20957
nation,England,E92000001,2021-01-02,29992,1145057,4700,17149
nation,England,E92000001,2021-01-01,24716,1115065,1099,12449
nation,England,E92000001,2020-12-31,89804,1090349,4801,11350
nation,England,E92000001,2020-12-30,109559,1000545,4268,6549
nation,England,E92000001,2020-12-29,46606,890986,2281,2281
nation,England,E92000001,2020-12-28,9031,844380,,
nation,England,E92000001,2020-12-27,4903,835349,,
nation,England,E92000001,2020-12-26,1750,830446,,
nation,England,E92000001,2020-12-25,257,828696,,
nation,England,E92000001,2020-12-24,27500,828439,,
nation,England,E92000001,2020-12-23,80648,800939,,
nation,England,E92000001,2020-12-22,86948,720291,,
nation,England,E92000001,2020-12-21,64128,633343,,
nation,England,E92000001,2020-12-20,79397,569215,,
nation,England,E92000001,2020-12-19,90487,489818,,
nation,England,E92000001,2020-12-18,77505,399331,,
nation,England,E92000001,2020-12-17,96740,321826,,
nation,England,E92000001,2020-12-16,97265,225086,,
nation,England,E92000001,2020-12-15,59770,127821,,
nation,England,E92000001,2020-12-14,12185,68051,,
nation,England,E92000001,2020-12-13,6136,55866,,
nation,England,E92000001,2020-12-12,10574,49730,,
nation,England,E92000001,2020-12-11,12474,39156,,
nation,England,E92000001,2020-12-10,11808,26682,,
nation,England,E92000001,2020-12-09,9580,14874,,
nation,England,E92000001,2020-12-08,5294,5294,,
